date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
3/20/20,1,,,,orange,n,,0.85,,6.8,,,alive,
3/20/20,2,,,,not scanned,,,0.79,12,7.9,,,alive,
3/20/20,2,,,,yellow,n,2017,0.79,12,7.9,,,alive,
3/20/20,7,,,,none,,,0.87,10,8.3,,,alive,
3/20/20,7,,,,none,,,0.87,10,8.3,,,alive,
3/20/20,7,,,,none,,,0.87,10,8.3,,,alive,
3/20/20,7,,,,yellow,n,2017,0.87,10,8.3,,,alive,
3/20/20,7,,,,yellow,n,2017,0.87,10,8.3,,,alive,
3/20/20,8,,,,yellow,n,2017,0.19,,7.1,,,alive,
3/20/20,11,,,,none,,,0.24,,7.4,,,alive,
3/20/20,12,,,,none,,,0.15,,7.1,,,alive,
3/20/20,13,,,,yellow,n,2017,0.8,,7.3,,,alive,
3/20/20,13,,,,orange,n,2019,0.8,,7.3,,,alive,
3/20/20,0,,,,orange,n,2019,,,,,,alive,rocks between pools
3/20/20,0,,,,none,,,,,,,,alive,rocks between pools
3/24/20,7,,,,none,,,0.41,,8.1,,,alive,
3/24/20,7,,,,none,,,0.41,,8.1,,,alive,
3/24/20,11,,,,orange,n,2019,0.27,0.81,9.9,,,alive,
3/24/20,11,,,,yellow,n,2017,0.27,0.81,9.9,,,alive,
3/24/20,12,,,,none,,,0.13,,7.2,,,alive,
3/24/20,12,,,,none,,,0.13,,7.2,,,alive,
3/24/20,12,,,,not scanned,,,0.13,,7.2,,,alive,
3/24/20,13,,,,none,,,0.18,,7.8,,,alive,
3/24/20,13,,,,yellow,n,2017,0.18,,7.8,,,alive,
3/29/20,1,,,,orange,n,2019,0.18,,6.7,,,alive,
3/29/20,2,,,,orange,n,2019,0.04,10.03,7.3,,,alive,
3/29/20,7,,,,orange,n,2019,0.26,,6.9,,,alive,
3/29/20,7,,,,orange,n,2019,0.26,,6.9,,,alive,
3/29/20,7,,,,yellow & orange,n,2017,0.26,,6.9,,,alive,
3/29/20,7,,,,red,y,2020_2021,0.26,,6.9,,,alive,
3/29/20,7,,,,red,y,2020_2021,0.26,,6.9,,,alive,
3/29/20,7,,,,red,y,2020_2021,0.26,,6.9,,,alive,
3/29/20,8,,,,yellow,n,2017,0.23,,7,,,alive,
3/29/20,8,,,,yellow,n,2017,0.23,,7,,,alive,
3/29/20,11,,,,red,y,2020_2021,0.11,,6.9,,,alive,
3/29/20,11,,,,red,y,2020_2021,0.11,,6.9,,,alive,
3/29/20,11,,,,red,y,2020_2021,0.11,,6.9,,,alive,
3/29/20,11,,,,red,y,2020_2021,0.11,,6.9,,,alive,
3/29/20,11,,,,orange,n,2019,0.11,,6.9,,,alive,
3/29/20,11,,,,orange,n,2019,0.11,,6.9,,,alive,
3/29/20,11,,,,yellow,n,2017,0.11,,6.9,,,alive,
3/29/20,12,,,,red,y,2020_2021,0.21,,7.1,,,alive,
3/29/20,12,,,,red,y,2020_2021,0.21,,7.1,,,alive,
3/29/20,12,,,,orange,n,2019,0.21,,7.1,,,alive,
3/29/20,13,,,,red,y,2020_2021,0.3,,6.6,,,alive,
3/29/20,13,,,,red,y,2020_2021,0.3,,6.6,,,alive,
3/29/20,13,,,,red,y,2020_2021,0.3,,6.6,,,alive,
3/29/20,13,,,,red,y,2020_2021,0.3,,6.6,,,alive,
3/29/20,13,,,,orange,n,2019,0.3,,6.6,,,alive,
3/31/20,7,,,,not scanned,,,,,,,,alive,
3/31/20,8,,,,red,n,2020_2021,0.13,,8.4,,,alive,
5/1/20,1,,,,none,,,0.26,,9,,,alive,
5/1/20,1,,,,none,,,0.26,,9,,,alive,
5/1/20,5,,,,orange,n,2019,0.13,,8.6,,,alive,
5/1/20,6,,,,none,,,0.12,,7.8,,,alive,
5/1/20,6,,,,none,,,0.12,,7.8,,,alive,
5/1/20,7,,,,none,,,0.22,,8.4,,,alive,
5/1/20,7,,,,none,,,0.22,,8.4,,,alive,
5/1/20,7,,,,orange,n,2019,0.22,,8.4,,,alive,
5/1/20,7,,,,yellow,n,2017,0.22,,8.4,,,alive,
5/1/20,7,,,,yellow,n,2017,0.22,,8.4,,,alive,
5/1/20,7,,,,yellow,n,2017,0.22,,8.4,,,alive,
5/1/20,11,,,,yellow,n,2017,0.41,,8.2,,,alive,
5/1/20,12,,,,none,,,0.41,,8.3,,,alive,
5/1/20,12,,,,none,,,0.41,,8.3,,,alive,
5/1/20,13,,,,none,,,0.37,,8.1,,,alive,
5/1/20,13,,,,none,,,0.37,,8.1,,,alive,
5/1/20,13,,,,yellow,n,2017,0.37,,8.1,,,alive,
5/1/20,15,,,,none,,,1.23,,8.1,,,alive,
5/1/20,15,,,,none,,,1.23,,8.1,,,alive,
5/2/20,1,,,,none,,,0.31,,11.3,,,alive,
5/2/20,6,,,,yellow,n,2017,0.05,,10.4,,,alive,
5/2/20,7,,,,red,y,2020_2021,15.23,,18.4,,,alive,
5/2/20,11,,,,none,,,0.42,,14.1,,,alive,
5/2/20,12,,,,orange,n,2019,0.31,,13.1,,,alive,
5/2/20,12,,,,red,n,2020_2021,0.31,,13.1,,,alive,
5/2/20,13,,,,none,,,0.28,,14.1,,,alive,
5/2/20,15,,,,yellow & orange,n,2017,1.19,,13.5,,,alive,
5/2/20,15,,,,red,y,2020_2021,1.19,,13.5,,,alive,
5/2/20,17,,,,red,y,2020_2021,0.46,,12.7,,,alive,
5/3/20,8,,,,red,y,2020_2021,0.16,,12.3,,,alive,
5/3/20,11,,,,orange,n,2019,0.33,,12.5,,,alive,
5/3/20,15,,,,red,y,2020_2021,0.75,,12.2,,,alive,
